,Recall@1,Recall@10,Recall@100
0,0.16872,0.19382,0.24144000000000002
1,0.17241,0.19452,0.24188
2,0.17355,0.19355,0.24079
3,0.15766,0.19454,0.24244000000000002
4,0.17083,0.19459,0.24145999999999998
5,0.16969,0.19408999999999998,0.24131999999999998
6,0.41492,0.45801000000000003,0.459
7,0.17484,0.19383999999999998,0.24080999999999997
8,0.14269,0.19435999999999998,0.2403
9,0.17187,0.19433,0.2417
10,0.16846,0.19494,0.24148
11,0.17302,0.19437,0.24105
12,0.17362,0.19448,0.24237
13,0.17503,0.19406,0.24048
14,0.16508,0.19538,0.24322
15,0.17205,0.19391999999999998,0.24177
16,0.1747,0.194,0.24072
17,0.1738,0.19429,0.24241000000000001
18,0.16946,0.19505,0.24145999999999998
19,0.06929,0.19126,0.24105
20,0.16862,0.19378,0.24087000000000003
21,0.03633,0.048380000000000006,0.06623
22,0.174,0.19326,0.24136000000000002
23,0.17217,0.19389,0.24119
24,0.17429,0.19502999999999998,0.24217000000000002
25,0.03194,0.033909999999999996,0.03535
26,0.17418,0.19518000000000002,0.24104
27,0.16907,0.19532999999999998,0.24201
28,0.17294,0.19476,0.24271
29,0.14109,0.19425,0.24112999999999998
30,0.17515,0.19433,0.24144000000000002
31,0.16596,0.19399,0.2417
32,0.16945,0.1935,0.24109999999999998
33,0.0,0.0,9.999999999999999e-06
34,0.17382,0.19369,0.24175999999999997
35,0.16722,0.19413,0.24234999999999998
36,0.17484,0.19354,0.24064
37,0.14043,0.19425,0.24166
38,0.15826,0.19499,0.24261
39,0.17191,0.19425,0.24181
40,0.17303,0.1941,0.24104
41,0.17381,0.19316,0.23967
42,0.17236,0.194,0.24172
43,0.17024,0.19441,0.24191
44,0.01999,0.10429000000000001,0.27654
45,0.17197,0.19377,0.24049
46,0.17388,0.19479,0.24181
47,0.17061,0.1947,0.24112999999999998
48,0.17364,0.19462000000000002,0.24195000000000003
49,0.17478,0.19401000000000002,0.24262
50,0.17484,0.19433,0.24161999999999997
51,0.17482,0.19488,0.24212999999999998
52,0.16342,0.19454,0.24256999999999998
53,0.17175,0.19442,0.24251
54,0.13939,0.19446000000000002,0.24196
55,0.16212,0.19387000000000001,0.24109
56,0.13675,0.19560999999999998,0.24411
57,0.17566,0.19413,0.24101
58,0.1719,0.19393,0.24109999999999998
59,0.0,0.0,9.999999999999999e-06
60,0.17395,0.19390999999999997,0.24177
61,0.14477,0.19508,0.24209000000000003
62,0.17054,0.19435999999999998,0.24219
63,0.17332,0.19435999999999998,0.24202999999999997
64,0.16756,0.19403,0.24147000000000002
65,0.28173,0.29100000000000004,0.29235
66,0.10384,0.19429,0.24063
67,0.17429,0.19419999999999998,0.24223999999999998
68,0.1729,0.19413,0.24145
69,0.16591,0.19488,0.2415
70,0.56915,0.607,0.6070599999999999
71,0.17311,0.19416,0.24169000000000002
